x,y,z,number
-24,-67,-40,8
-10,-19,7,10
-15,10,9,11
-25,2,-1,12
-20,-5,-1,13
-28,-23,-14,17
-25,-5,-20,18
-8,10,-10,26
-12,-10,-9,28
-19,2,-18,1000
-55,-46,7,1001
-6,19,28,1002
-36,10,46,1003
-7,-81,20,1005
-27,-4,-35,1006
-36,-42,-26,1007
-42,-71,28,1008
-52,-38,-26,1009
-8,-47,19,1010
-30,-91,-4,1011
-25,31,-18,1012
-13,-70,-6,1013
-7,37,-18,1014
-59,-32,-12,1015
-25,-31,-18,1016
-8,-28,60,1017
-47,15,13,1018
-43,38,-14,1019
-46,30,2,1020
-11,-80,6,1021
-44,-24,45,1022
-7,-20,40,1023
-39,-10,46,1024
-10,-61,38,1025
-7,33,-2,1026
-33,43,16,1027
-12,26,44,1028
-23,-65,50,1029
-54,-14,-3,1030
-53,-40,35,1031
-9,63,-14,1032
-32,11,-40,1033
-45,-22,9,1034
-36,0,-1,1035
23,-65,-39,47
10,-18,8,49
14,10,9,50
24,5,-2,51
20,-3,-1,52
27,-21,-14,53
23,-3,-20,54
7,11,-11,58
11,-10,-9,60
17,0,-19,2000
54,-42,8,2001
6,20,27,2002
36,12,46,2003
8,-80,18,2005
24,-4,-34,2006
35,-39,-26,2007
43,-65,30,2008
50,-34,-26,2009
8,-45,20,2010
31,-90,-4,2011
22,30,-19,2012
14,-70,-6,2013
5,37,-18,2014
57,-29,-13,2015
25,-32,-17,2016
8,-26,60,2017
46,17,14,2018
41,41,-13,2019
46,32,3,2020
12,-82,5,2021
44,-20,46,2022
7,-19,40,2023
39,-7,46,2024
11,-60,38,2025
5,33,-2,2026
32,45,17,2027
12,28,44,2028
24,-63,50,2029
54,-10,-4,2030
54,-34,32,2031
8,63,-15,2032
29,12,-38,2033
45,-19,11,2034
35,2,-2,2035
