Region, number
L_LatVent,28
R_LatVent,60
L_thal,10
R_thal,49
L_caud,11
R_caud,50
L_put,12
R_put,51
L_pal,13
R_pal,52
L_hippo,17
R_hippo,53
L_amyg,18
R_amyg,54
L_accumb,26
R_accumb,58
L_bankssts_thickavg,1001
L_caudalanteriorcingulate_thickavg,1002
L_caudalmiddlefrontal_thickavg,1003
L_cuneus_thickavg,1005
L_entorhinal_thickavg,1006
L_fusiform_thickavg,1007
L_inferiorparietal_thickavg,1008
L_inferiortemporal_thickavg,1009
L_isthmuscingulate_thickavg,1010
L_lateraloccipital_thickavg,1011
L_lateralorbitofrontal_thickavg,1012
L_lingual_thickavg,1013
L_medialorbitofrontal_thickavg,1014
L_middletemporal_thickavg,1015
L_parahippocampal_thickavg,1016
L_paracentral_thickavg,1017
L_parsopercularis_thickavg,1018
L_parsorbitalis_thickavg,1019
L_parstriangularis_thickavg,1020
L_pericalcarine_thickavg,1021
L_postcentral_thickavg,1022
L_posteriorcingulate_thickavg,1023
L_precentral_thickavg,1024
L_precuneus_thickavg,1025
L_rostralanteriorcingulate_thickavg,1026
L_rostralmiddlefrontal_thickavg,1027
L_superiorfrontal_thickavg,1028
L_superiorparietal_thickavg,1029
L_superiortemporal_thickavg,1030
L_supramarginal_thickavg,1031
L_frontalpole_thickavg,1032
L_temporalpole_thickavg,1033
L_transversetemporal_thickavg,1034
L_insula_thickavg,1035
R_bankssts_thickavg,2001
R_caudalanteriorcingulate_thickavg,2002
R_caudalmiddlefrontal_thickavg,2003
R_cuneus_thickavg,2005
R_entorhinal_thickavg,2006
R_fusiform_thickavg,2007
R_inferiorparietal_thickavg,2008
R_inferiortemporal_thickavg,2009
R_isthmuscingulate_thickavg,2010
R_lateraloccipital_thickavg,2011
R_lateralorbitofrontal_thickavg,2012
R_lingual_thickavg,2013
R_medialorbitofrontal_thickavg,2014
R_middletemporal_thickavg,2015
R_parahippocampal_thickavg,2016
R_paracentral_thickavg,2017
R_parsopercularis_thickavg,2018
R_parsorbitalis_thickavg,2019
R_parstriangularis_thickavg,2020
R_pericalcarine_thickavg,2021
R_postcentral_thickavg,2022
R_posteriorcingulate_thickavg,2023
R_precentral_thickavg,2024
R_precuneus_thickavg,2025
R_rostralanteriorcingulate_thickavg,2026
R_rostralmiddlefrontal_thickavg,2027
R_superiorfrontal_thickavg,2028
R_superiorparietal_thickavg,2029
R_superiortemporal_thickavg,2030
R_supramarginal_thickavg,2031
R_frontalpole_thickavg,2032
R_temporalpole_thickavg,2033
R_transversetemporal_thickavg,2034
R_insula_thickavg,2035
L_bankssts_surfavg,1001
L_caudalanteriorcingulate_surfavg,1002
L_caudalmiddlefrontal_surfavg,1003
L_cuneus_surfavg,1005
L_entorhinal_surfavg,1006
L_fusiform_surfavg,1007
L_inferiorparietal_surfavg,1008
L_inferiortemporal_surfavg,1009
L_isthmuscingulate_surfavg,1010
L_lateraloccipital_surfavg,1011
L_lateralorbitofrontal_surfavg,1012
L_lingual_surfavg,1013
L_medialorbitofrontal_surfavg,1014
L_middletemporal_surfavg,1015
L_parahippocampal_surfavg,1016
L_paracentral_surfavg,1017
L_parsopercularis_surfavg,1018
L_parsorbitalis_surfavg,1019
L_parstriangularis_surfavg,1020
L_pericalcarine_surfavg,1021
L_postcentral_surfavg,1022
L_posteriorcingulate_surfavg,1023
L_precentral_surfavg,1024
L_precuneus_surfavg,1025
L_rostralanteriorcingulate_surfavg,1026
L_rostralmiddlefrontal_surfavg,1027
L_superiorfrontal_surfavg,1028
L_superiorparietal_surfavg,1029
L_superiortemporal_surfavg,1030
L_supramarginal_surfavg,1031
L_frontalpole_surfavg,1032
L_temporalpole_surfavg,1033
L_transversetemporal_surfavg,1034
L_insula_surfavg,1035
R_bankssts_surfavg,2001
R_caudalanteriorcingulate_surfavg,2002
R_caudalmiddlefrontal_surfavg,2003
R_cuneus_surfavg,2005
R_entorhinal_surfavg,2006
R_fusiform_surfavg,2007
R_inferiorparietal_surfavg,2008
R_inferiortemporal_surfavg,2009
R_isthmuscingulate_surfavg,2010
R_lateraloccipital_surfavg,2011
R_lateralorbitofrontal_surfavg,2012
R_lingual_surfavg,2013
R_medialorbitofrontal_surfavg,2014
R_middletemporal_surfavg,2015
R_parahippocampal_surfavg,2016
R_paracentral_surfavg,2017
R_parsopercularis_surfavg,2018
R_parsorbitalis_surfavg,2019
R_parstriangularis_surfavg,2020
R_pericalcarine_surfavg,2021
R_postcentral_surfavg,2022
R_posteriorcingulate_surfavg,2023
R_precentral_surfavg,2024
R_precuneus_surfavg,2025
R_rostralanteriorcingulate_surfavg,2026
R_rostralmiddlefrontal_surfavg,2027
R_superiorfrontal_surfavg,2028
R_superiorparietal_surfavg,2029
R_superiortemporal_surfavg,2030
R_supramarginal_surfavg,2031
R_frontalpole_surfavg,2032
R_temporalpole_surfavg,2033
R_transversetemporal_surfavg,2034
R_insula_surfavg,2035
